01. Duran Duran - The Reflex.mp3	3,4	4	3	Now That's What I Call Music 4	RESOLVED-BY-ALBUM-TAG
07. Robbie Williams - Angels.mp3	39,100	100	39	Now That's What I Call Music! 100	RESOLVED-BY-ALBUM-TAG
07. Tina Turner - What's Love Got To Do With It.mp3	3,4	4	3	Now That's What I Call Music 4	RESOLVED-BY-ALBUM-TAG
12. Kirsty MacColl - Days.mp3	15,31	31	15	Now That's What I Call Music! 31	RESOLVED-BY-ALBUM-TAG
