3	1	14	13	1
3	2	14	13	7
8	2	16	12	9,10,11,12
15	1	16	15	12
18	2	16	15	10
39	1	19	18	7
52	1	22	21	10
70	1	22	21	17
83	2	21	20	21
98	2	23	22	23
